Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
167,ZINC000000005606_docked,N/A,-7.050,ZINC000000005606_docked.dlg,True
168,ZINC000000001309_docked,N/A,-7.040,ZINC000000001309_docked.dlg,True
169,ZINC000000001661_docked,N/A,-7.030,ZINC000000001661_docked.dlg,True
170,ZINC000000006223_docked,N/A,-7.020,ZINC000000006223_docked.dlg,True
171,ZINC000000006255_docked,N/A,-7.020,ZINC000000006255_docked.dlg,True
172,ZINC000000000479_docked,N/A,-7.010,ZINC000000000479_docked.dlg,True
173,ZINC000000003833_docked,N/A,-7.000,ZINC000000003833_docked.dlg,True
174,ZINC000000000640_docked,N/A,-6.990,ZINC000000000640_docked.dlg,True
175,ZINC000000007518_docked,N/A,-6.980,ZINC000000007518_docked.dlg,True
176,ZINC000000001342_docked,N/A,-6.970,ZINC000000001342_docked.dlg,True
177,ZINC000000000071_docked,N/A,-6.970,ZINC000000000071_docked.dlg,True
178,ZINC000000005475_docked,N/A,-6.970,ZINC000000005475_docked.dlg,True
179,ZINC000000000274_docked,N/A,-6.960,ZINC000000000274_docked.dlg,True
180,ZINC000000000499_docked,N/A,-6.960,ZINC000000000499_docked.dlg,True
181,ZINC000000004270_docked,N/A,-6.950,ZINC000000004270_docked.dlg,True
182,ZINC000000004898_docked,N/A,-6.950,ZINC000000004898_docked.dlg,True
183,ZINC000000004539_docked,N/A,-6.930,ZINC000000004539_docked.dlg,True
184,ZINC000000004861_docked,N/A,-6.910,ZINC000000004861_docked.dlg,True
185,ZINC000000006739_docked,N/A,-6.910,ZINC000000006739_docked.dlg,True
186,ZINC000000004100_docked,N/A,-6.900,ZINC000000004100_docked.dlg,True
187,ZINC000000005632_docked,N/A,-6.900,ZINC000000005632_docked.dlg,True
188,ZINC000000000381_docked,N/A,-6.890,ZINC000000000381_docked.dlg,True
189,ZINC000000001314_docked,N/A,-6.890,ZINC000000001314_docked.dlg,True
190,ZINC000000006392_docked,N/A,-6.850,ZINC000000006392_docked.dlg,True
191,ZINC000000001324_docked,N/A,-6.850,ZINC000000001324_docked.dlg,True
