Rank,Compound,SMILES,Affinity_kcal_per_mol,DLG_file,Within_Pocket
34,ZINC000542044075_docked,CC(=O)c1ccc(S(C)(=O)=O)c(N[C@@H]2CC(=O)N([C@@H]3C[C@@H]3c3ccccc3)C2)c1,-10.74,ZINC000542044075_docked.dlg,TRUE
35,ZINC000488278025_docked,CS(=O)(=O)c1cccnc1CNC(=O)Nc1cc(F)ccc1Oc1ccccc1,-10.73,ZINC000488278025_docked.dlg,TRUE
36,ZINC000513304597_docked,CS(=O)(=O)c1ccc(C(=O)Nc2ccccc2Oc2cccc(F)c2)cc1[N+](=O)[O-],-10.73,ZINC000513304597_docked.dlg,TRUE
37,ZINC000428411129_docked,Cc1ccc(C#N)cc1S(=O)(=O)NC[C@@]1(Cc2ccc(F)cc2)CCC[C@@H]1O,-10.73,ZINC000428411129_docked.dlg,TRUE
38,ZINC000559492859_docked,CS(=O)(=O)c1ccccc1CC(=O)Nc1ccccc1Oc1cccc(F)c1,-10.73,ZINC000559492859_docked.dlg,TRUE
39,ZINC000726345536_docked,CS(=O)(=O)c1cc(C(=O)O[C@H](c2ccccc2)c2cccc(F)c2)cc([N+](=O)[O-])c1,-10.73,ZINC000726345536_docked.dlg,TRUE
40,ZINC001208925241_docked,Cc1cccc(C2(CNS(=O)(=O)c3ccc(F)cc3C#N)CCCC2)c1,-10.73,ZINC001208925241_docked.dlg,FALSE
41,ZINC000537640921_docked,Cc1ccccc1C[C@H]1CCCN1C(=O)c1ccc(S(C)(=O)=O)c(Br)c1,-10.72,ZINC000537640921_docked.dlg,TRUE
42,ZINC000462960872_docked,C[C@@H](N[C@@H]1CCCCC12CCCC2)c1ccc(S(C)(=O)=O)c(F)c1,-10.71,ZINC000462960872_docked.dlg,TRUE
43,ZINC000440914694_docked,N#Cc1cccc(OCc2cccc(C(=O)N3CCS(=O)(=O)C4(CCCCC4)C3)c2)c1,-10.71,ZINC000440914694_docked.dlg,TRUE
44,ZINC000552384104_docked,CS(=O)(=O)c1ccc(C(=O)N[C@H]2C[C@H]2c2cccc(F)c2)cc1Br,-10.71,ZINC000552384104_docked.dlg,TRUE
45,ZINC000801160040_docked,CS(=O)(=O)c1ccc(C(=O)N2CCC([C@H](O)c3ccc(F)cc3)CC2)cc1[N+](=O)[O-],-10.7,ZINC000801160040_docked.dlg,FALSE
46,ZINC000552384103_docked,CS(=O)(=O)c1ccc(C(=O)N[C@@H]2C[C@@H]2c2cccc(F)c2)cc1Br,-10.69,ZINC000552384103_docked.dlg,TRUE
47,ZINC000831333726_docked,CCC[C@H](NS(=O)(=O)Cc1ccc(F)cc1C#N)[C@H](O)c1ccccc1,-10.68,ZINC000831333726_docked.dlg,FALSE
