Ligand Number	Confidence Score
14945	0.7123
18122	0.7122
25361	0.7117
23028	0.7110
31873	0.7109
6715	0.7105
39624	0.7104
2863	0.7103
3905	0.7094
35751	0.7091
4487	0.7089
13930	0.7084
18685	0.7079
31503	0.7078
25171	0.7068
32405	0.7067
34319	0.7066
14199	0.7065
16852	0.7064
22548	0.7063
35855	0.7062
6929	0.7059
33513	0.7058
37600	0.7058
21687	0.7057
37678	0.7057
36628	0.7057
18631	0.7057
13558	0.7053
19120	0.7051
12412	0.7051
28040	0.7050
9242	0.7048
17687	0.7044
10844	0.7042
12173	0.7042
25653	0.7041
18955	0.7039
33986	0.7033
23431	0.7032
9025	0.7032
11175	0.7031
33013	0.7030
34911	0.7028
38617	0.7025
25059	0.7025
5318	0.7025
25169	0.7025
30980	0.7021
1137	0.7021
18673	0.7018
20712	0.7017
23737	0.7017
22050	0.7017
40030	0.7012
33337	0.7009
15726	0.7009
19740	0.7009
28201	0.7006
36819	0.7005
21073	0.7004
19100	0.7003
8410	0.7001
7115	0.7001
36636	0.6997
3063	0.6996
16851	0.6990
12533	0.6989
11403	0.6987
34010	0.6987
15178	0.6986
7678	0.6984
12365	0.6984
37250	0.6984
25885	0.6983
37052	0.6982
36512	0.6982
2355	0.6982
5914	0.6982
27308	0.6981
28034	0.6979
39912	0.6976
3145	0.6974
3688	0.6973
24608	0.6971
37321	0.6971
2890	0.6968
12603	0.6968
707	0.6964
14354	0.6963
32439	0.6963
3137	0.6961
19956	0.6961
26468	0.6959
30057	0.6959
16266	0.6959
40327	0.6958
38252	0.6957
9598	0.6953
18395	0.6950
39315	0.6945
37552	0.6945
24879	0.6942
14624	0.6941
20515	0.6941
2684	0.6936
13452	0.6936
9231	0.6936
9669	0.6932
5495	0.6930
21098	0.6928
5944	0.6927
1878	0.6925
34600	0.6924
38172	0.6924
249	0.6924
39168	0.6920
28192	0.6920
20514	0.6919
34139	0.6913
30502	0.6913
38249	0.6911
34897	0.6908
5664	0.6908
22291	0.6905
32178	0.6905
18594	0.6905
29673	0.6904
6297	0.6901
40784	0.6892
22988	0.6891
513	0.6891
26479	0.6890
4717	0.6887
33630	0.6886
5306	0.6884
34360	0.6883
10520	0.6878
24047	0.6877
6748	0.6877
20667	0.6876
39453	0.6875
7062	0.6875
29031	0.6874
3615	0.6874
40165	0.6873
11570	0.6870
20032	0.6868
17273	0.6868
5168	0.6868
20163	0.6865
27874	0.6862
15174	0.6861
32025	0.6861
12550	0.6860
13508	0.6858
18784	0.6855
11704	0.6854
1544	0.6850
15061	0.6847
17010	0.6847
34055	0.6845
16795	0.6845
30648	0.6844
23354	0.6843
10557	0.6842
37618	0.6842
18893	0.6841
2624	0.6840
7218	0.6838
11838	0.6836
3465	0.6834
31274	0.6833
28088	0.6833
6867	0.6831
16331	0.6830
14191	0.6830
8210	0.6828
16115	0.6827
34045	0.6827
